iter	Logloss
0	0.6866278108
1	0.6812600991
2	0.6757144731
3	0.6703856163
4	0.6641960537
5	0.6585288294
6	0.652811778
7	0.6459065074
8	0.6404034723
9	0.633745921
10	0.6278013249
11	0.6216829438
12	0.6161675207
13	0.6096688497
14	0.6044097586
15	0.5988569358
16	0.593510382
17	0.5876518328
18	0.5827676832
19	0.5775829197
20	0.5729215956
21	0.5686177126
22	0.5627753661
23	0.5575826586
24	0.5521451812
25	0.5473676072
26	0.5421625511
27	0.5376538935
28	0.5334951656
29	0.5286778715
30	0.5245303911
31	0.5195249184
32	0.5147861599
33	0.5110561725
34	0.5070623024
35	0.5041615201
36	0.5002869282
37	0.4961371274
38	0.4917141629
39	0.4876373134
40	0.4835645931
41	0.480772746
42	0.4776630992
43	0.4739908828
44	0.4707188164
45	0.4677309646
46	0.464195802
47	0.4599995171
48	0.4578715452
49	0.454878463
50	0.451813452
51	0.4494275752
52	0.4453906423
53	0.4427497313
54	0.439884697
55	0.4364893019
56	0.4333463846
57	0.4304182308
58	0.4274681721
59	0.424927387
60	0.4228775182
61	0.4198129398
62	0.4173786517
63	0.4138759731
64	0.4121020602
65	0.410112204
66	0.4077957783
67	0.4060167922
68	0.4039678672
69	0.4012381957
70	0.3984231457
71	0.3957986733
72	0.3935405299
73	0.3905557849
74	0.3886709705
75	0.3860437452
76	0.3843266202
77	0.3822097778
78	0.3793512718
79	0.3771738269
80	0.3745576524
81	0.3733063924
82	0.3713687228
83	0.3693036738
84	0.3673982915
85	0.3651378278
86	0.3626663365
87	0.3612988659
88	0.3591860742
89	0.3579641519
90	0.3559715035
91	0.3534201396
92	0.3512856002
93	0.349595296
94	0.3478878847
95	0.3463939391
96	0.3448308964
97	0.3432116164
98	0.3416398432
99	0.3401217117
100	0.3381095572
101	0.3364264105
102	0.3347469998
103	0.3332189973
104	0.3314636073
105	0.3301359354
106	0.3288942121
107	0.3276605508
108	0.3268899819
109	0.3255896814
110	0.3241282591
111	0.3231062742
112	0.321955789
113	0.3204663857
114	0.318869286
115	0.317324019
116	0.315782252
117	0.3144583161
118	0.3133370114
119	0.312467752
120	0.3110360214
121	0.310136972
122	0.3086585212
123	0.3071495135
124	0.3060641928
125	0.3046060542
126	0.3032679214
127	0.3017652256
128	0.300553194
129	0.2991046512
130	0.2977998675
131	0.2969316502
132	0.2961132797
133	0.2954103725
134	0.2944398467
135	0.2936072399
136	0.2921554133
137	0.2906803249
138	0.2894763553
139	0.2884293782
140	0.2872817836
141	0.2862954484
142	0.2851182407
143	0.2839873599
144	0.2832962901
145	0.2821349114
146	0.2809393971
147	0.2802500774
148	0.2789652323
149	0.2779032717
150	0.2768270158
151	0.2757831456
152	0.2744795809
153	0.2736032034
154	0.2725183153
155	0.2714785743
156	0.2705612969
157	0.2697321902
158	0.2687293574
159	0.2675252501
160	0.2665370666
161	0.2657042435
162	0.2648468607
163	0.2640449681
164	0.2631019514
165	0.2623560797
166	0.2615632519
167	0.2606214543
168	0.2599070834
169	0.2587344376
170	0.2575396705
171	0.2570254139
172	0.2564476642
173	0.255435629
174	0.254881908
175	0.2539948532
176	0.2529778825
177	0.2520239919
178	0.2512595776
179	0.2502798887
180	0.2495719084
181	0.248974751
182	0.2484173332
183	0.2477883408
184	0.2472868654
185	0.246131661
186	0.2453634518
187	0.2443157865
188	0.2436659901
189	0.2428905054
190	0.2420952001
191	0.2411425876
192	0.2407187432
193	0.239978456
194	0.2390082841
195	0.2384202112
196	0.237779696
197	0.2371982496
198	0.2366997237
199	0.2361933521
200	0.2353278091
201	0.234601129
202	0.2339162728
203	0.2331210657
204	0.2324976184
205	0.2319148349
206	0.2312056945
207	0.2303541911
208	0.229797206
209	0.2292740025
210	0.2288220592
211	0.228313682
212	0.2276690768
213	0.226956161
214	0.2267831625
215	0.2261667547
216	0.2257012436
217	0.2251073896
218	0.2244977066
219	0.224169682
